,name,type,category,price,datakey,url
2080,KHBD GIÁO ÁN WORD CHÍNH KHÓA - TIẾNG ANH 2 GLOBAL SUCCESS - CẢ NĂM (CV2345 - 2 Cột).zip,tieng-anh-2,tieng-anh,299000,21731,https://drive.google.com/drive/u/0/folders/1b5lpdBgH2MjUl5AUOR0kG-EF2t1j-ETj
2081,Chuyên đề bài tập i-learn smart start grade 2.rar,tieng-anh-2,tieng-anh,199000,10731,https://drive.google.com/drive/folders/1IQOXXhrpL6sdniKuO8Awd8NjS5sClGcg?usp=sharing
2082,Power Point i-learn smart start - Tiếng anh 2 (bộ 1).rar,tieng-anh-2,tieng-anh,150000,10730,https://drive.google.com/drive/folders/1Qv_B1fmbbs162F2U_DemobUDwIFxijhH?usp=sharing
2083,Bộ bài giảng Power Point PPT đầy đủ - Tiếng Anh 2 Global Success - Cả năm.rar,tieng-anh-2,tieng-anh,299000,10087,https://drive.google.com/drive/folders/1Dqqsx5-gBRv3JPZJHgsL0ZDWWnLgA8_M?usp=sharing
2084,Bộ đề kiểm tra tiếng anh 2 cả năm Global Success (kèm file nghe).rar,tieng-anh-2,tieng-anh,99000,10085,https://drive.google.com/drive/folders/15C8LRqjxXBiEFcWKfWIKPC4SMC9jcnEa?usp=sharing
2085,Listen Up Plus 2 - New Tests.rar,tieng-anh-2,tieng-anh,150000,10084,https://drive.google.com/drive/folders/1mR4NEIS2PGUoNe4lHiD40Bd3qfY9G6rX?usp=sharing
2086,Sách Bài Tập BGD Tiếng Anh Lớp 2 - Global Success (Bộ 2).rar,tieng-anh-2,tieng-anh,199000,10083,https://drive.google.com/drive/folders/1rXIj4gCz_PKMgXGRiQ2s0pmI7fIhjrM1?usp=sharing
2087,Worksheet + Alphabet new Tiếng Anh 2 - Global Success.rar,tieng-anh-2,tieng-anh,99000,10082,https://drive.google.com/drive/folders/1V4GCEqTPkHMZVDEHSLZrVXcrMTIQCOIk?usp=sharing
2088,"BÀI GIẢNG POWER POINT CẢ NĂM - TIẾNG ANH 1 - GLOBAL SUCCESS (Theo lesson, chuẩn đẹp)",tieng-anh-1,tieng-anh,399000,12559,https://drive.google.com/drive/u/0/folders/1hnI594cYPSKSUwg9Vq6EXGahLBMJWC_Y
2089,KHBD GIÁO ÁN WORD CHÍNH KHÓA - TIẾNG ANH 1 GLOBAL SUCCESS - CẢ NĂM (CV2345 - 2 Cột).zip,tieng-anh-1,tieng-anh,299000,21730,https://drive.google.com/drive/u/0/folders/1I-iIMBUg23-TxgNtv2Py3htXp91T_f6u
